;ecocyc_id;synonyms;products;n_prods;ko_obs;url;uniprot;class
b2826;EG12081;ppdA;EG12081-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12081;P33554;
b0445;EG13217;ybaE;EG13217-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG13217;P46890;
b1244;EG10675;oppB;OPPB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10675;P0AFH2;
b1413;G6732;hrpA;G6732-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6732;P43329;
b3956;EG10756;ppc asp glu;PEPCARBOX-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-36 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10756;P00864;
b0157;EG12333;yadS;EG12333-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12333;P0AFP0;
b3224;G436;nanT;NANT-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G436;P41036;
b2946;EG12366;rsmE yggJ;EG12366-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12366;P0AGL7;
b2700;G7409;pncC ygaD;G7409-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7409;P0A6G3;
b2785;EG11247;rlmD ygcA rumA;EG11247-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11247;P55135;
b1855;EG10614;lpxM mlt waaN msbB;MYRISTOYLACYLTRAN-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10614;P24205;
b4713;G0-10752;agrB;RNA0-380;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10752;;
b0931;EG10742;pncB;NICOTINATEPRIBOSYLTRANS-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10742;P18133;
b0051;EG10523;rsmA ksgA;EG10523-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10523;P06992;
b2987;EG12883;pitB;PITB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12883;P43676;
b4714;G0-16600;ralA;RNA0-385;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-16600;;
b1768;EG11135;pncA nam ydjB;NICOTINAMID-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11135;P21369;
b2791;G7449;truC yqcB;G7449-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7449;P0AA41;
b0027;EG10548;lspA lsp;EG10548-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10548;P00804;
b1615;G6866;uidC gusC;G6866-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6866;Q47706;
b1090;EG11437;plsX;EG11437-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11437;P27247;
b0967;G6501;rlmI yccW;G6501-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6501;P75876;
b4476;EG12631;gntU b3435 (obsolete) b3436 (obsolete);GNTU-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12631;P0AC96;
b4712;G0-10751;agrA;RNA0-379;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10751;;
b1158;EG10737;pinE pin;EG10737-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10737;P03014;
b4107;EG10712;yjdN phnB;EG10712-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10712;P16681;
b1054;EG10464;lpxL htrB waaM;LAUROYLACYLTRAN-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10464;P0ACV0;
b0708;EG10736;phr phrB;EG10736-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10736;P00914;
b3470;EG12216;tusA yhhP sirA;EG12216-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12216;P0A890;
b4127;G7829;yjdJ;G7829-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7829;P39274;
b4115;EG12462;adiC yjdD yjdE;YJDE-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12462;P60061;
b1086;EG11118;rluC yceC;EG11118-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11118;P0AA39;
b0241;EG10729;phoE ompE;MONOMER0-282;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10729;P02932;
b3160;G7654;yhbW;G7654-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7654;P0ADV5;
b0094;EG10339;ftsA divA;EG10339-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10339;P0ABH0;
b3741;EG10375;mnmG gidA trmF;EG10375-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10375;P0A6U3;
b4093;EG10724;phnO;EG10724-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10724;P16691;
b2941;G7523;yqgD;G7523-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=G7523;P46879;
b3568;EG12276;xylH;XYLH-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12276;P0AGI4;
b4447;G0-8913;sibD tp8 C0730 IS156 QUAD1d rygD;C0730-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8913;;
b2598;EG11271;pheL pheAE;EG11271-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11271;P0AD72;
b2849;G7469;yqeK;G7469-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7469;P77136;
b0583;EG10262;entD;ENTD-MONOMER;1;OBS0-48 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10262;P19925;
b4625;G0-10610;symR ryjC;RNA0-334;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10610;;
b2599;EG10707;pheA;CHORISMUTPREPHENDEHYDRAT-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10707;P0A9J8;
b2562;G7346;yfhL;G7346-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7346;P52102;
b0734;EG10174;cydB cyd-2;CYDB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10174;P0ABK2;
b4446;G0-8886;sibC QUAD1c t27 rygC;RYGC-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8886;;
b0767;G6397;pgl ybhE;6PGLUCONOLACT-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6397;P52697;
b2299;G7191;yfcD;G7191-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7191;P65556;
b3733;EG10104;atpG papC uncG;ATPG-MONOMER;1;OBS0-49 OBS0-31 OBS0-40 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10104;P0ABA6;
b4452;G0-8914;gadY IS183;IS183-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8914;;
b1024;G6531;pgaA hmsH ycdS;G6531-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6531;P69434;
b1995;G7075;yoeA_1 yoeA;G7075-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7075;P76356;
b3547;EG12268;yhjX;YHJX-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12268;P37662;
b4608;G0-10598;ohsC ryfC;RNA0-330;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10598;;
b0903;EG10701;pflB pfl;PYRUVFORMLY-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10701;P09373;
b2590;EG30035;gltW;gltW-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30035;;
b0920;EG12166;elyC ycbC;EG12166-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12166;P0AB01;
b4436;G0-8884;sibA QUAD1a tp11 ryeC;RYEC-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8884;;
b0254;G6129;perR;G6129-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6129;Q57083;
b2402;EG30113;valX valU-beta valUbeta;valX-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30113;;
b2280;EG12090;nuoJ;NUOJ-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12090;P0AFE0;Oxidoreduction-driven Active Transporters
b4611;G0-10602;sibE QUAD1e rygE;RNA0-332;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10602;;
b1636;G6879;pdxY ydgS;PDXY-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6879;P77150;
b4437;G0-8885;sibB QUAD1b tpe60 ryeD;RYED-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8885;;
b2014;EG11896;plaP yeeF;YEEF-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11896;P0AA47;
b3365;EG10653;nirB;NIRB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10653;P08201;
b2418;G7259;pdxK yfeI thiJ pdxL;PDXK-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7259;P40191;
b4347;G7940;symE yjiW dinL sosC;G7940-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7940;P39394;
b2995;EG11800;hybB;EG11800-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11800;P37180;membrane
b0977;EG10473;hyaF;EG10473-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10473;P19932;
b2564;EG10693;pdxJ;PDXJ-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37;http://ecocyc.org/gene?orgid=ECOLI&id=EG10693;P0A794;
b4128;G7830;ghoS yjdK;G7830-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7830;P0AF61;
b3659;EG11687;setC yicK;B3659-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11687;P31436;
b3891;EG10284;fdhE;EG10284-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10284;P13024;
b1638;EG11487;pdxH;PDXH-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11487;P0AFI7;
b3247;EG11299;rng adhR cafA yhdF;EG11299-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11299;P0A9J0;
b3173;G7655;yhbX;G7655-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7655;P42640;
b4071;EG11945;nrfB yjcI;CYTOCHROMEC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11945;P0ABL1;
b2320;G0-9461;pdxB usg-2;ERYTHRON4PDEHYDROG-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G0-9461;P05459;
b4444;G0-8868;omrA psrA12 rygA PAIR2a t59 sraE;SRAE-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8868;;
b4148;EG11616;sugE;SUGE-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11616;P69937;
b4070;EG11781;nrfA;CYTOCHROMEC552-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11781;P0ABK9;
b0052;EG10691;pdxA;PDXA-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10691;P19624;
b2830;G7459;rppH ygdP nudH;G7459-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7459;P0A776;
b2740;G7421;ygbN;B2740-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7421;Q46892;
b2713;EG11552;hydN;EG11552-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11552;P0AAK4;
b2743;EG10689;pcm;EG10689-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10689;P0A7A5;
b4445;G0-8882;omrB PAIR2b t59 rygB;RYGB-RNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-8882;;
b3839;EG11479;tatC mttB yigU yigV;EG11479-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11479;P69423;
b3479;EG12078;nikD hydD hydC;NIKD-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12078;P33593;
b2519;G7322;pbpC yfgN;G7322-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7322;P76577;
b4532;G0-10451;hicA yncN;MONOMER0-2673;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10451;P76106;
b2389;G7251;yfeO;G7251-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7251;P67729;
b2489;G7306;hyfI;MONOMER0-151;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7306;P77668;
b1444;G6755;patD prr ydcW;G6755-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6755;P77674;
b3130;G7629;yhaV;G7629-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7629;P64594;
b0979;EG11379;appB cbdB cyxB;APPB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11379;P26458;
b0156;EG12332;erpA yadR;EG12332-MONOMER;1;OBS0-48 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12332;P0ACC3;
b3073;G7596;patA oat pat ygjG;G7596-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7596;P42588;
b1977;EG30020;asnT;asnT-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30020;;
b3364;EG11262;tsgA yhfH gutS yhfC;YHFC-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11262;P60778;
b2205;EG12064;napG yojA yojB;NAPG-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12064;P0AAL3;
b0283;G6154;paoD yagQ;G6154-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6154;P77183;
b2262;EG11368;menB;NAPHTHOATE-SYN-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11368;P0ABU0;
b1255;EG11123;yciC;EG11123-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11123;P21365;
b4188;G7851;yjfN;G7851-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7851;P0AF82;
b0425;G6239;panE apbA;2-DEHYDROPANTOATE-REDUCT-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6239;P0A9J4;
b1975;EG30094;serU supH Su-1 ftsM su1 supD;serU-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30094;;
b1453;G6764;ansP yncF;ANSP-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6764;P77610;
b1225;EG10639;narH chlC;NARH-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10639;P11349;
b0131;EG11747;panD;MONOMER0-1843 MONOMER0-1842 ASPDECARBOX-MONOMER;3;OBS0-49 OBS0-31 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11747;;
b1909;EG30054;leuZ;leuZ-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30054;;
b1252;EG11012;tonB T1rec exbA;EG11012-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11012;P02929;membrane
b2202;EG12060;napC yejX;NAPC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12060;P0ABL5;
b0133;EG11746;panC;PANTOATE-BETA-ALANINE-LIG-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11746;P31663;
b4400;EG10145;creD refII cet ref;EG10145-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10145;P08369;
b1038;G6544;csgF;G6544-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6544;P0AE98;
b0997;EG11814;torA;TORA-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11814;P33225;
b0134;EG11675;panB;3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11675;P31057;
b3796;EG30017;argX;argX-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30017;;
b0815;G6418;opgE ybiP;G6418-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6418;P75785;
b4075;EG11949;nrfF yjcM;EG11949-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11949;P32711;
b0741;EG10684;pal excC;EG10684-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10684;P0A912;
b2401;EG30110;valU valUalpha;valU-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30110;;
b1602;EG10745;pntB;PNTB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10745;P0AB67;
b3366;EG10655;nirD;NIRD-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10655;P0A9I8;
b0622;EG12180;pagP ybeG crcA;EG12180-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12180;P37001;
b3799;EG30068;proM proU;proM-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30068;;
b0489;G6265;qmcA ybbK;G6265-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6265;P0AA53;
b2726;EG10483;hypA;EG10483-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10483;P0A700;
b1096;EG11493;pabC;ADCLY-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11493;P28305;
b4368;EG30051;leuV leuValpha;leuV-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30051;;
b2964;EG10664;nupG;NUPG-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10664;P0AFF4;
b1478;G6775;adhP yddN;ADHP-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6775;P39451;
b1812;EG10683;pabB;PABASYN-COMPI-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10683;P05041;
b3969;EG30032;gltT tgtB;gltT-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30032;;
b0634;EG10607;mrdB mdrB rodA;EG10607-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10607;P0ABG7;
b1467;EG10647;narY chlZ;NARY-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10647;P19318;
b3360;EG10682;pabA;PABASYN-COMPII-MONOMER;1;OBS0-49 OBS0-31 OBS0-50 OBS0-32 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10682;P00903;
b0536;EG30014;argU dnaY pin;argU-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30014;;
b3269;EG12835;yhdX;YHDX-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12835;P45767;
b3480;EG12079;nikE hydD hydC;NIKE-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12079;P33594;
b1897;EG11752;otsB otsP;TREHALOSEPHOSPHASYN-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11752;P31678;
b2652;G7387;ileY;RNA0-305;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G7387;;
b3457;EG10538;livH hrbD hrbC hrbB;LIVH-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10538;P0AEX7;membrane
b3951;EG11910;pflD yijL;EG11910-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11910;P32674;
b4376;EG11391;osmY csi-5;EG11391-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11391;P0AFH8;
b3977;EG30107;tyrU sup15B supM supZ;tyrU-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30107;;
b0478;EG12623;ybaL ylaA;YBAL-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12623;P39830;
b2261;EG11532;menC;O-SUCCINYLBENZOATE-COA-SYN-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11532;P29208;
b1482;EG10680;osmC;EG10680-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10680;P0C0L2;
b2967;EG30065;pheV pheC;pheV-tRNA;1;;http://ecocyc.org/gene?orgid=ECOLI&id=EG30065;;
